,cat_id,cat_nm_0,cat_nm_1,cat_nm_2,cat_nm_3
0,50003307,가구/인테리어,DIY자재/용품,가구부속품,가구다리
1,50003308,가구/인테리어,DIY자재/용품,가구부속품,가구바퀴
2,50003309,가구/인테리어,DIY자재/용품,가구부속품,경첩/꺽쇠/자석철물류
3,50003314,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품
4,50003310,가구/인테리어,DIY자재/용품,가구부속품,나사/못
5,50003311,가구/인테리어,DIY자재/용품,가구부속품,로프/철망
6,50003312,가구/인테리어,DIY자재/용품,가구부속품,서랍레일
7,50003313,가구/인테리어,DIY자재/용품,가구부속품,소켓/옷걸이봉
8,50001066,가구/인테리어,DIY자재/용품,데코스티커,
9,50008228,가구/인테리어,DIY자재/용품,리모델링,싱크대
10,50008208,가구/인테리어,DIY자재/용품,리모델링,욕실/바스
11,50008188,가구/인테리어,DIY자재/용품,리모델링,중문
12,50008848,가구/인테리어,DIY자재/용품,리모델링,창문/창호/새시
13,50001060,가구/인테리어,DIY자재/용품,목재,
14,50001064,가구/인테리어,DIY자재/용품,몰딩,
15,50003321,가구/인테리어,DIY자재/용품,바닥재,기타바닥재
16,50003315,가구/인테리어,DIY자재/용품,바닥재,마루
17,50003316,가구/인테리어,DIY자재/용품,바닥재,매트류
18,50003317,가구/인테리어,DIY자재/용품,바닥재,온돌마루
19,50003318,가구/인테리어,DIY자재/용품,바닥재,인조잔디
20,50003319,가구/인테리어,DIY자재/용품,바닥재,장판
21,50003320,가구/인테리어,DIY자재/용품,바닥재,필름난방
22,50001061,가구/인테리어,DIY자재/용품,반제품,
23,50003328,가구/인테리어,DIY자재/용품,벽지,기타벽지
24,50003327,가구/인테리어,DIY자재/용품,벽지,띠벽지
25,50003325,가구/인테리어,DIY자재/용품,벽지,뮤럴벽지
26,50003324,가구/인테리어,DIY자재/용품,벽지,실크벽지
27,50003326,가구/인테리어,DIY자재/용품,벽지,포인트벽지
28,50003323,가구/인테리어,DIY자재/용품,벽지,합지벽지
29,50001062,가구/인테리어,DIY자재/용품,손잡이,
30,50003691,가구/인테리어,DIY자재/용품,시트지,단색시트지
31,50003690,가구/인테리어,DIY자재/용품,시트지,무늬목시트지
32,50003694,가구/인테리어,DIY자재/용품,시트지,뮤럴시트지
33,50003693,가구/인테리어,DIY자재/용품,시트지,아이방시트지
34,50003696,가구/인테리어,DIY자재/용품,시트지,유리용시트지
35,50003329,가구/인테리어,DIY자재/용품,시트지,타일시트지
36,50003692,가구/인테리어,DIY자재/용품,시트지,포인트시트지
37,50001067,가구/인테리어,DIY자재/용품,접착제/보수용품,
38,50007146,가구/인테리어,DIY자재/용품,타일,도기질타일
39,50003322,가구/인테리어,DIY자재/용품,타일,스텐타일
40,50003684,가구/인테리어,DIY자재/용품,타일,아트타일
41,50003685,가구/인테리어,DIY자재/용품,타일,우드타일
42,50003686,가구/인테리어,DIY자재/용품,타일,유리타일
43,50003687,가구/인테리어,DIY자재/용품,타일,자기질타일
44,50003688,가구/인테리어,DIY자재/용품,타일,접착식타일
45,50003689,가구/인테리어,DIY자재/용품,타일,카페트타일
46,50001063,가구/인테리어,DIY자재/용품,파벽돌,
47,50001065,가구/인테리어,DIY자재/용품,패널,
48,50001310,가구/인테리어,거실가구,TV거실장,
49,50003242,가구/인테리어,거실가구,소파,가죽소파
50,50003245,가구/인테리어,거실가구,소파,리클라이너소파
51,50003248,가구/인테리어,거실가구,소파,벤치소파
52,50003250,가구/인테리어,거실가구,소파,빈백
53,50003247,가구/인테리어,거실가구,소파,소파베드
54,50003249,가구/인테리어,거실가구,소파,수납소파
55,50003243,가구/인테리어,거실가구,소파,인조가죽소파
56,50003246,가구/인테리어,거실가구,소파,좌식소파
57,50003244,가구/인테리어,거실가구,소파,패브릭소파
58,50009000,가구/인테리어,거실가구,소파,흙/돌소파
59,50001311,가구/인테리어,거실가구,장식장,
60,50003251,가구/인테리어,거실가구,테이블,거실테이블
61,50003253,가구/인테리어,거실가구,테이블,사이드테이블
62,50003254,가구/인테리어,거실가구,테이블,접이식테이블
63,50003304,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품
64,50003306,가구/인테리어,서재/사무용가구,사무/교구용가구,기타사무/교구용가구
65,50003298,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용소파
66,50003300,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용수납가구
67,50003299,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자
68,50003296,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용책상
69,50003297,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용책장
70,50003302,가구/인테리어,서재/사무용가구,사무/교구용가구,캐비닛
71,50003301,가구/인테리어,서재/사무용가구,사무/교구용가구,파티션
72,50003305,가구/인테리어,서재/사무용가구,사무/교구용가구,학원/학교책걸상
73,50003303,가구/인테리어,서재/사무용가구,사무/교구용가구,회의테이블
74,50003294,가구/인테리어,서재/사무용가구,의자,간이/접이식의자
75,50003683,가구/인테리어,서재/사무용가구,의자,목받침의자
76,50003266,가구/인테리어,서재/사무용가구,의자,스툴
77,50003291,가구/인테리어,서재/사무용가구,의자,안락의자
78,50003295,가구/인테리어,서재/사무용가구,의자,의자발받침대
79,50003682,가구/인테리어,서재/사무용가구,의자,인테리어의자
80,50003264,가구/인테리어,서재/사무용가구,의자,일반의자
81,50003265,가구/인테리어,서재/사무용가구,의자,좌식의자
82,50003293,가구/인테리어,서재/사무용가구,의자,하이팩의자
83,50003292,가구/인테리어,서재/사무용가구,의자,흔들의자
84,50001347,가구/인테리어,서재/사무용가구,책꽂이,
85,50003677,가구/인테리어,서재/사무용가구,책상,2인용 책상
86,50003263,가구/인테리어,서재/사무용가구,책상,h형 책상
87,50003680,가구/인테리어,서재/사무용가구,책상,독서실책상
88,50003681,가구/인테리어,서재/사무용가구,책상,삼나무/원목책상
89,50007169,가구/인테리어,서재/사무용가구,책상,스탠딩책상
90,50003675,가구/인테리어,서재/사무용가구,책상,일자형 책상
91,50003676,가구/인테리어,서재/사무용가구,책상,좌식책상
92,50003695,가구/인테리어,서재/사무용가구,책상,책상소품
93,50003678,가구/인테리어,서재/사무용가구,책상,컴퓨터책상
94,50003679,가구/인테리어,서재/사무용가구,책상,코너형책상
95,50001346,가구/인테리어,서재/사무용가구,책장,
96,50000980,가구/인테리어,솜류,방석솜,
97,50003503,가구/인테리어,솜류,베개솜/속통,거위털/오리털베개솜
98,50003504,가구/인테리어,솜류,베개솜/속통,마이크로화이바베개솜
99,50003502,가구/인테리어,솜류,베개솜/속통,양모베개솜
100,50003501,가구/인테리어,솜류,베개솜/속통,일반베개솜
101,50003505,가구/인테리어,솜류,요솜/매트솜,견면요솜
102,50003506,가구/인테리어,솜류,요솜/매트솜,목화요솜
103,50003509,가구/인테리어,솜류,이불솜,거위털/오리털이불솜
104,50003510,가구/인테리어,솜류,이불솜,마이크로화이바이불솜
105,50003508,가구/인테리어,솜류,이불솜,양모이불솜
106,50003507,가구/인테리어,솜류,이불솜,일반이불솜
107,50000979,가구/인테리어,솜류,쿠션솜,
108,50001325,가구/인테리어,수납가구,CD/DVD장,
109,50001323,가구/인테리어,수납가구,고가구,
110,50001322,가구/인테리어,수납가구,공간박스,
111,50001324,가구/인테리어,수납가구,나비장,
112,50001321,가구/인테리어,수납가구,선반,
113,50001330,가구/인테리어,수납가구,소품수납함,
114,50001320,가구/인테리어,수납가구,수납장,
115,50001326,가구/인테리어,수납가구,신발장,
116,50001327,가구/인테리어,수납가구,우산꽂이,
117,50001328,가구/인테리어,수납가구,잡지꽂이,
118,50001329,가구/인테리어,수납가구,코너장,
119,50001319,가구/인테리어,수납가구,행거,
120,50000851,가구/인테리어,수예,기타수예,
121,50003658,가구/인테리어,수예,뜨개질,뜨개질바늘
122,50003657,가구/인테리어,수예,뜨개질,뜨개질실
123,50003660,가구/인테리어,수예,뜨개질,완제품
124,50003659,가구/인테리어,수예,뜨개질,패키지
125,50006874,가구/인테리어,수예,보석십자수,
126,50000850,가구/인테리어,수예,수예용품/부자재,
127,50000849,가구/인테리어,수예,원단,
128,50003661,가구/인테리어,수예,자수,도안
129,50003663,가구/인테리어,수예,자수,실/바늘
130,50003665,가구/인테리어,수예,자수,완제품
131,50003662,가구/인테리어,수예,자수,원단
132,50003664,가구/인테리어,수예,자수,패키지
133,50003666,가구/인테리어,수예,퀼트/펠트,도안
134,50003669,가구/인테리어,수예,퀼트/펠트,완제품
135,50003667,가구/인테리어,수예,퀼트/펠트,원단
136,50003668,가구/인테리어,수예,퀼트/펠트,패키지
137,50001339,가구/인테리어,아동/주니어가구,서랍장,
138,50001342,가구/인테리어,아동/주니어가구,소파,
139,50001344,가구/인테리어,아동/주니어가구,소품가구,
140,50001340,가구/인테리어,아동/주니어가구,수납장,
141,50001345,가구/인테리어,아동/주니어가구,아동침실세트,
142,50001337,가구/인테리어,아동/주니어가구,옷장,
143,50001341,가구/인테리어,아동/주니어가구,의자,
144,50001336,가구/인테리어,아동/주니어가구,책꽂이,
145,50001332,가구/인테리어,아동/주니어가구,책상,
146,50001333,가구/인테리어,아동/주니어가구,책상의자,
147,50001334,가구/인테리어,아동/주니어가구,책상의자세트,
148,50001335,가구/인테리어,아동/주니어가구,책장,
149,50003671,가구/인테리어,아동/주니어가구,침대,벙커침대
150,50003672,가구/인테리어,아동/주니어가구,침대,이단침대
151,50003673,가구/인테리어,아동/주니어가구,침대,이층침대
152,50003262,가구/인테리어,아동/주니어가구,침대,일반침대
153,50001338,가구/인테리어,아동/주니어가구,행거,
154,50001059,가구/인테리어,아웃도어가구,기타아웃도어가구,
155,50001058,가구/인테리어,아웃도어가구,야외벤치,
156,50001055,가구/인테리어,아웃도어가구,야외의자,
157,50001054,가구/인테리어,아웃도어가구,야외테이블,
158,50001056,가구/인테리어,아웃도어가구,정원그네,
159,50001057,가구/인테리어,아웃도어가구,정자,
160,50000968,가구/인테리어,인테리어소품,기타장식용품,
161,50000965,가구/인테리어,인테리어소품,냉장고자석,
162,50000963,가구/인테리어,인테리어소품,도어벨,
163,50000964,가구/인테리어,인테리어소품,디자인문패,
164,50006788,가구/인테리어,인테리어소품,미술작품,공예디자인
165,50006313,가구/인테리어,인테리어소품,미술작품,사진작품
166,50006312,가구/인테리어,인테리어소품,미술작품,아트포스터
167,50007190,가구/인테리어,인테리어소품,미술작품,조각
168,50006311,가구/인테리어,인테리어소품,미술작품,판화
169,50006310,가구/인테리어,인테리어소품,미술작품,회화
170,50003330,가구/인테리어,인테리어소품,스탠드,단스탠드
171,50003331,가구/인테리어,인테리어소품,스탠드,장스탠드
172,50003343,가구/인테리어,인테리어소품,시계,벽시계
173,50003345,가구/인테리어,인테리어소품,시계,스탠드시계
174,50003344,가구/인테리어,인테리어소품,시계,알람/탁상시계
175,50003357,가구/인테리어,인테리어소품,아로마/캔들용품,기타아로마/캔들용품
176,50006876,가구/인테리어,인테리어소품,아로마/캔들용품,석고방향제만들기
177,50003355,가구/인테리어,인테리어소품,아로마/캔들용품,아로마램프/오일
178,50003356,가구/인테리어,인테리어소품,아로마/캔들용품,아로마방향제/디퓨저
179,50003353,가구/인테리어,인테리어소품,아로마/캔들용품,초/향초
180,50003354,가구/인테리어,인테리어소품,아로마/캔들용품,촛대/홀더
181,50006875,가구/인테리어,인테리어소품,아로마/캔들용품,캔들만들기
182,50003347,가구/인테리어,인테리어소품,액자,벽걸이액자
183,50003352,가구/인테리어,인테리어소품,액자,액자세트
184,50003349,가구/인테리어,인테리어소품,액자,캐릭터액자
185,50003346,가구/인테리어,인테리어소품,액자,탁상용액자
186,50003348,가구/인테리어,인테리어소품,액자,파티션액자
187,50003350,가구/인테리어,인테리어소품,액자,퍼즐/그림/사진액자
188,50003351,가구/인테리어,인테리어소품,액자,포토보드/집게
189,50000966,가구/인테리어,인테리어소품,앤틱소품,
190,50001076,가구/인테리어,인테리어소품,오르골,
191,50000962,가구/인테리어,인테리어소품,우체통,
192,50000961,가구/인테리어,인테리어소품,워터볼,
193,50001074,가구/인테리어,인테리어소품,인터폰박스,
194,50001075,가구/인테리어,인테리어소품,인테리어분수,
195,50001073,가구/인테리어,인테리어소품,인테리어창문,
196,50001072,가구/인테리어,인테리어소품,인테리어파티션,
